INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Brussels International Exhibition',257,'20.09.1996','09.10.1996',881617,7,99,26,4700713,3194960,923583,2976008);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Exposition universelle et internationale',435,'09.02.1994','13.02.1994',348684,8,175,7,5614382,3099536,3549468,4209391);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Ghent International Exposition',65,'10.07.2004','23.07.2004',151423,1,126,27,7337984,5830698,3221352,2028747);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Panama-Pacific International Exposition',287,'03.11.2004','13.11.2004',399811,4,91,27,1251334,2919616,1343894,462186);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Barcelona International Exposition',518,'18.06.2000','15.07.2000',510758,6,300,4,6006927,3642390,652301,2590871);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Century of Progress',31,'13.09.2001','17.09.2001',764257,6,71,14,9391931,5859375,3000103,4758227);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Brussels International Exposition',264,'29.10.2012','18.11.2012',828147,5,442,48,376490,1857083,2095853,2882839);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Exposition Internationale des Arts et Techniques',143,'04.09.2001','07.09.2001',210462,5,278,47,6543794,9827369,1407759,1395177);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Exposition internationale du bicentenaire',221,'07.01.2020','06.02.2020',345193,6,263,20,8610354,3528234,3406131,2466099);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Brussels World’s Fair',171,'27.12.2001','01.01.2002',32289,7,9,10,6462992,3275570,4707879,510851);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Century 21 Exposition',537,'15.01.2015','08.02.2015',504297,4,297,36,104982,9318695,3086082,3367682);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Louisiana World Exposition',297,'07.02.2004','28.02.2004',426605,2,94,22,6539166,3247981,339115,4479908);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Expo',71,'21.08.2017','12.09.2017',901226,5,345,46,4625208,3368563,4756860,1687884);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Expo Colombo',360,'11.11.2016','16.11.2016',368903,2,42,40,1554282,3433167,3745455,4383860);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Taejŏn Expo',348,'09.04.2012','01.05.2012',494029,4,388,1,2189266,6739522,3090721,191095);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Железный век ',154,'26.04.2018','23.05.2018',375667,5,41,1,980663,4699330,1408868,3611310);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Европа без границ',217,'13.07.1993','08.08.1993',772742,7,495,18,8659491,1702309,3609725,746973);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Первое тысячелетие до новой эры',246,'31.01.1990','03.03.1990',268947,1,126,7,4586284,1187335,1400741,3600997);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Две картины Бронзино. К завершению реставрации',432,'21.09.2015','29.09.2015',89731,7,269,36,1401975,2461630,1405453,2992203);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Мелкая пластика Ар Деко',446,'07.01.2021','25.01.2021',99568,6,453,1,8731643,8081240,2243385,1584161);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Шпалеры XIX–XX веков в собрании Эрмитажа.',160,'03.09.2013','30.09.2013',929887,3,32,39,9638248,118924,818015,2227797);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Сальвадор Дали. Магическое искусство',84,'06.05.2002','07.05.2002',987442,7,87,41,1607121,309080,2384209,4348738);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Русская сказка. От Васнецова до сих пор',482,'25.09.2002','26.09.2002',459224,8,292,12,4479007,2456835,2356379,1373148);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Пять веков европейского рисунка',506,'21.10.2005','06.11.2005',799348,8,133,33,3764086,2823708,1346721,2192587);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Это было навсегда. 1968–1985',443,'18.01.2007','24.01.2007',948270,6,65,42,689271,6482680,2089946,4205205);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Международная биеннале молодого искусства',159,'10.10.2017','25.10.2017',54729,7,71,9,7402363,5644891,4574886,4876725);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Многообразие/Единство',364,'04.10.1993','20.10.1993',68116,8,142,27,5167070,6550612,978360,3019353);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Современное искусство Европы',384,'02.06.2020','17.06.2020',653953,8,452,5,6108283,1776952,4108180,4289045);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Соцреализм. Метаморфозы. Советское искусство',253,'24.10.2010','12.11.2010',511128,7,226,26,1980961,5423686,3515782,2618554);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Мечты о свободе. Романтизм в России и Германии',167,'28.10.2007','30.10.2007',287189,5,75,28,5298083,1320965,3807913,3244921);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Шедевры русского искусства XI — начала XX века',456,'26.10.1998','11.11.1998',357601,2,85,14,6464053,9540115,3690374,780337);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Заглянув в душу столетий',30,'28.03.1998','24.04.1998',609812,4,224,5,159038,4577876,3257592,4506551);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Веков связующая нить',352,'27.12.2003','24.01.2004',350488,6,147,48,588592,6483106,3450772,493527);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Помнить о своих корнях, дорожить прошлым',531,'07.06.1990','18.06.1990',682896,4,146,17,9247495,8962819,3744828,3930810);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Призраки утраченного времени',255,'21.12.2002','15.01.2003',232865,1,339,6,4431662,1171793,1528401,4990827);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('История в лицах',515,'04.12.2001','06.12.2001',719087,7,243,49,7019851,8961002,461963,2332676);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Нам жить и помнить',401,'11.03.1995','06.04.1995',644969,7,485,40,6845945,5331060,3774160,774244);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('История',463,'21.09.2010','06.10.2010',886909,4,147,14,9551168,2057462,2867659,3972096);
