INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Brussels International Exhibition',413,'16.11.1993','13.12.1993',280048,5,214,10,4273503,6722443,1793586,3569915);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Exposition universelle et internationale',6,'03.02.2009','16.02.2009',270158,7,466,32,7069461,9145230,859566,3703882);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Ghent International Exposition',241,'14.11.2015','23.11.2015',138290,8,94,12,5647133,9430382,2855815,2967106);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Panama-Pacific International Exposition',380,'03.12.1991','29.12.1991',401812,3,261,14,6363401,5401285,2033839,2163759);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Barcelona International Exposition',406,'23.03.2003','04.04.2003',597430,7,68,25,6001701,9810679,423838,4412772);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Century of Progress',267,'13.01.2002','14.01.2002',842896,4,272,1,1962990,1080232,2077285,728406);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Brussels International Exposition',109,'24.06.1990','05.07.1990',579330,4,341,6,4366603,2786106,3149955,1685999);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Exposition Internationale des Arts et Techniques',43,'24.04.2002','21.05.2002',400307,3,177,5,762917,3433283,2950107,2562458);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Exposition internationale du bicentenaire',367,'14.08.1995','28.08.1995',917623,4,37,37,6348683,3446536,1496328,102344);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Brussels World’s Fair',223,'13.09.1998','24.09.1998',399769,3,369,41,4896529,5450152,4016716,1276533);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Century 21 Exposition',352,'26.06.1991','16.07.1991',766071,1,129,33,1003390,326637,367837,2782415);
